Info positions : [ 7  9 10 11 12 13 14 15]
Target Info positions : [ 7  9 10 11 12 13 14 15]
Frozen positions : [0 1 2 3 4 5 6 8]
embed dim : 64 
Batch size : 8192
Validation SNR : -2.0
Train SNR : -2.0
load training data? True
Number of heads : 8
Number of layers: 6
Positional encoding : static
Print frequency: 100
Num of steps: 150000
combinational training snr:  True
64
Training Model for 8,16 anew
Number of parameters : 299661
Did not find standard validation data
Need to save for: 1000
tensor([[-1., -1., -1., -1., -1., -1., -1., -1.]], device='cuda:0')
tensor([[ 1.,  1., -1., -1., -1., -1., -1.,  1.]], device='cuda:0')
[0/150000] At -2 dB, Loss: 1.2840062, Train BER (-2 dB) : 0.5527649, Valid BER: 0.4607086, Tgt BER: 0.4607086, Noiseless BER 0.4135742, Valid BLER : 0.9862061
[10600/150000] At -2 dB, Loss: 0.2588944, Train BER (-2 dB) : 0.0885925, Valid BER: 0.3086090, Tgt BER: 0.3086090, Noiseless BER 0.0000000, Valid BLER : 0.7309570
[10700/150000] At -2 dB, Loss: 0.2485934, Train BER (-2 dB) : 0.0855408, Valid BER: 0.3073883, Tgt BER: 0.3073883, Noiseless BER 0.0000000, Valid BLER : 0.7265625
[10800/150000] At -2 dB, Loss: 0.2579843, Train BER (-2 dB) : 0.0880585, Valid BER: 0.3038025, Tgt BER: 0.3038025, Noiseless BER 0.0000000, Valid BLER : 0.7283936
[10900/150000] At -2 dB, Loss: 0.2611842, Train BER (-2 dB) : 0.0890350, Valid BER: 0.3124542, Tgt BER: 0.3124542, Noiseless BER 0.0000000, Valid BLER : 0.7432861
[11000/150000] At -2 dB, Loss: 0.2517430, Train BER (-2 dB) : 0.0859222, Valid BER: 0.3075867, Tgt BER: 0.3075867, Noiseless BER 0.0000000, Valid BLER : 0.7363281
[11100/150000] At -2 dB, Loss: 0.2569730, Train BER (-2 dB) : 0.0884247, Valid BER: 0.3060913, Tgt BER: 0.3060913, Noiseless BER 0.0000000, Valid BLER : 0.7358398
[11200/150000] At -2 dB, Loss: 0.2551869, Train BER (-2 dB) : 0.0876923, Valid BER: 0.3108978, Tgt BER: 0.3108978, Noiseless BER 0.0000000, Valid BLER : 0.7364502
[11300/150000] At -2 dB, Loss: 0.2585908, Train BER (-2 dB) : 0.0876007, Valid BER: 0.3121948, Tgt BER: 0.3121948, Noiseless BER 0.0000000, Valid BLER : 0.7329102
[11400/150000] At -2 dB, Loss: 0.2605540, Train BER (-2 dB) : 0.0880127, Valid BER: 0.3070221, Tgt BER: 0.3070221, Noiseless BER 0.0000000, Valid BLER : 0.7332764
[11500/150000] At -2 dB, Loss: 0.2461227, Train BER (-2 dB) : 0.0841064, Valid BER: 0.3111877, Tgt BER: 0.3111877, Noiseless BER 0.0000000, Valid BLER : 0.7321777
