Info positions : [ 7  9 10 11 12 13 14 15]
Target Info positions : [ 7  9 10 11 12 13 14 15]
Frozen positions : [0 1 2 3 4 5 6 8]
Code : polar 
Rate Profile : polar
Validation SNR : 1.2
Number of heads : 8
Number of layers: 6
Positional encoding : static
Layers : compelete
Print frequency: 100
Num of steps: 20000
Training Model for 8,16 anew
Number of parameters : 299661
Did not find standard validation data
Need to save for: 5000
[0/20000] At 1 dB, Loss: 1.6820605, Train BER (1 dB) : 0.5298920, Valid BER: 0.4490204, Tgt BER: 0.4490204, Noiseless BER 0.4340363, Valid BLER : 0.9543457
[10800/20000] At 1 dB, Loss: 0.4587554, Train BER (1 dB) : 0.2025909, Valid BER: 0.2060394, Tgt BER: 0.2060394, Noiseless BER 0.0000000, Valid BLER : 0.6397705
[10900/20000] At 1 dB, Loss: 0.4676697, Train BER (1 dB) : 0.2058716, Valid BER: 0.2012787, Tgt BER: 0.2012787, Noiseless BER 0.0000000, Valid BLER : 0.6369629
[11000/20000] At 1 dB, Loss: 0.4744637, Train BER (1 dB) : 0.2110443, Valid BER: 0.2074585, Tgt BER: 0.2074585, Noiseless BER 0.0000000, Valid BLER : 0.6428223
[11100/20000] At 1 dB, Loss: 0.4635165, Train BER (1 dB) : 0.2049713, Valid BER: 0.2044983, Tgt BER: 0.2044983, Noiseless BER 0.0000000, Valid BLER : 0.6467285
[11200/20000] At 1 dB, Loss: 0.4675863, Train BER (1 dB) : 0.2054443, Valid BER: 0.2050629, Tgt BER: 0.2050629, Noiseless BER 0.0000000, Valid BLER : 0.6485596
[11300/20000] At 1 dB, Loss: 0.4709775, Train BER (1 dB) : 0.2071686, Valid BER: 0.2084808, Tgt BER: 0.2084808, Noiseless BER 0.0000000, Valid BLER : 0.6481934
[11400/20000] At 1 dB, Loss: 0.4575916, Train BER (1 dB) : 0.2024231, Valid BER: 0.2112122, Tgt BER: 0.2112122, Noiseless BER 0.0000000, Valid BLER : 0.6534424
[11500/20000] At 1 dB, Loss: 0.4710861, Train BER (1 dB) : 0.2069855, Valid BER: 0.2035675, Tgt BER: 0.2035675, Noiseless BER 0.0000000, Valid BLER : 0.6362305
[11600/20000] At 1 dB, Loss: 0.4644012, Train BER (1 dB) : 0.2071838, Valid BER: 0.2026672, Tgt BER: 0.2026672, Noiseless BER 0.0000000, Valid BLER : 0.6452637
[11700/20000] At 1 dB, Loss: 0.4699947, Train BER (1 dB) : 0.2059174, Valid BER: 0.2000580, Tgt BER: 0.2000580, Noiseless BER 0.0000000, Valid BLER : 0.6324463
